carta1,carta2,carta3,significado
o envelope,O jardim,A ancôra,Novo projeto com base sólida
chicote,Os lírios,Os peixes,Conflitos seguidos de tranquilidade e abundância
A cegonha,AS nuvens,A torre,Mudança inesperada que traz isolamento
O buque,O urso,O cavaleiro,Recebendo apoio e proteção na jornada
A mulher,A cruz,O livro,Sofrimento associado ao conhecimento oculto
O anel,A lua,Os ratos,Parceria ou contrato sob ameaça
A cobra,O cachorro,A raposa,Amizade com intenções enganosas
A casa,O caixão,As estrelas,"Fim de uma fase doméstica, novos sonhos"
O homem,O sol,A criança,Início positivo e inocente para um homem
A chave,O trevo,Os pássaros,Solução rápida através de comunicação
O navio,A foice,O coração,Viagem que termina em mudança emocional
